Energietrager 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 1)
Braunkohle 170,9 158,3 154,5 147,5 146,1 142,6 144,3 141,7 139,4 136,0 148,3 154,8 158,0 158,2 158,0 154,1 151,1 155,1 150,6 145,6 145,9 150,1 160,7 160,9 155,8 155,0
Kernenergie 152,5 147,4 158,8 153,5 151,2 154,1 161,6 170,3 161,6 170,0 169,6 171,3 164,8 165,1 167,1 163,0 167,4 140,5 148,8 134,9 140,6 108,0 99,5 97,3 97,1 91,8
Steinkohle 140,8 149,8 141,9 146,2 144,6 147,1 152,7 143,1 153,4 143,1 143,1 138,4 134,6 146,5 140,8 134,1 137,9 142,0 124,6 107,9 117,0 112,4 116,4 127,35) 118,6 118,0
Erdgas 35,9 36,3 33,0 32,8 36,1 41,1 45,6 48,1 50,7 51,8 49,2 55,5 56,3 62,9 63,0 72,7 75,3 78,1 89,1 80,9 89,3 86,1 76,4 67,5 61,1 59,6
Mineralolprodukte 10,8 14,8 13,2 10,1 10,1 9,1 8,1 7,4 6,7 6,3 5,9 6,1 8,7 10,3 10,8 12,0 10,9 10,0 9,7 10,1 8,7 7,2 7,6 7,2 5,7 5,4
Erneuerbare
darunter
19,7 17,5 20,5 21,2 23,0 25,1 23,0 24,2 26,3 29,1 37,9 38,9 46,1 45,6 56,6 62,5 71,6 88,3 93,2 94,9 104,8 123,8 143,8 152,4 162,5 195,9
- Windkraft onshore k.A. 0,1 0,3 0,6 0,9 1,5 2,0 3,0 4,5 5,5 9,5 10,5 15,8 18,7 25,5 27,2 30,7 39,7 40,6 38,6 37,8 48,9 50,7 50,8 55,9 79,3
- Windkraft offshore 0,9 1,4 8,7
- Wasserkraft2) 19,7 15,9 18,6 19,0 20,2 21,6 18,8 19,0 19,0 20,7 24,9 23,2 23,7 17,7 20,1 19,6 20,0 21,2 20,4 19,0 21,0 17,7 22,1 23,0 19,6 19,3
- Biomasse k.A. 0,3 0,3 0,4 0,6 0,7 0,8 0,9 1,1 1,2 1,6 3,3 4,5 6,6 8,2 11,1 14,8 19,8 23,1 26,3 29,6 32,8 39,7 41,2 43,3 44,2
- Photovoltaik k.A. 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,2 0,3 0,6 1,3 2,2 3,1 4,4 6,6 11,7 19,6 26,4 31,0 36,1 38,4
- Hausmull3) k.A. 1,2 1,3 1,3 1,3 1,3 1,3 1,4 1,6 1,7 1,8 1,9 1,9 2,2 2,3 3,3 3,9 4,5 4,7 4,3 4,7 4,8 5,0 5,4 6,1 5,8
Ubrige Energietrager 19,3 16,2 16,3 15,8 17,4 17,7 17,4 17,4 19,1 20,0 22,6 21,4 18,2 20,3 21,2 24,1 25,4 26,6 24,7 21,4 26,8 25,6 25,7 26,2 27,0 26,1
Bruttoerzeugung insgesamt 549,9 540,2 538,2 527,1 528,5 536,8 552,7 552,3 557,2 556,3 576,6 586,4 586,7 608,8 617,5 622,6 639,6 640,6 640,7 595,6 633,1 613,1 630,1 638,7 627,8 651,8
