Y,X,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl
53.965675929323865,11.893525694214587,91eff5ea-f580-11e4-a74a-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Jürgenshagen,130725252050,Jürgenshagen,,,,,,
53.967460560838077,11.889772853887226,91f0010c-f580-11e4-a74b-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Jürgenshagen,130725252050,Jürgenshagen,,,,,,
53.968704154366257,11.894325542049364,91f01336-f580-11e4-a74c-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Jürgenshagen,130725252050,Jürgenshagen,,,,,,
53.970525131636798,11.899319323561386,91f027c2-f580-11e4-a74d-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Jürgenshagen,130725252050,Wokrent,,,,,,
53.999673625647922,11.952361745626318,dc498cb8-d3c5-11e5-9698-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Heiligenhagen,,,,,,
53.997571495988637,11.947848263343024,dc5e44e6-d3c5-11e5-9699-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Heiligenhagen,,,,,,
54.002786938238451,11.957032923943183,dc74234c-d3c5-11e5-969a-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Klein Bölkow,,,,,,
53.994356127526984,11.94988567735842,59f629e6-d3c6-11e5-969b-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Heiligenhagen,,,,,,
53.991230004991309,11.942583338208658,5a0c8934-d3c6-11e5-969c-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Heiligenhagen,,,,,,
53.987695321945559,11.939562375734473,5a2233d8-d3c6-11e5-969d-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.97629558225595,11.698979408824997,91f08f00-f580-11e4-a756-0050569b7e95,Landkreis Rostock,13072,Amt Neubukow-Salzhaff,130725259,Kirch Mulsow,130725259052,Kirch Mulsow,,,,,,
53.975433327825769,11.694178555625518,91f09d60-f580-11e4-a757-0050569b7e95,Landkreis Rostock,13072,Amt Neubukow-Salzhaff,130725259,Kirch Mulsow,130725259052,Kirch Mulsow,,,,,,
53.888370613957832,11.813008455818363,91f0aff8-f580-11e4-a758-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Jürgenshagen,130725252050,Klein Sien,,,,,,
53.868519639822139,12.225876362886057,91f0bb92-f580-11e4-a759-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Kuhs,130725255061,Kuhs,,,,,,
53.86250632116095,12.21660731389189,91f0c34e-f580-11e4-a75a-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Kuhs,130725255061,Kuhs,,,,,,
53.865616721130891,12.216728703734832,91f0cb64-f580-11e4-a75b-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Kuhs,130725255061,Kuhs,,,,,,
53.859904675234603,12.219024273335052,91f0d32a-f580-11e4-a75c-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Kuhs,130725255061,Kuhs,,,,,,
53.857436053918697,12.217190928628131,91f0db7c-f580-11e4-a75d-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Kuhs,130725255061,Kuhs,,,,,,
53.855313170496174,12.219660700771108,91f0e338-f580-11e4-a75e-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Kuhs,130725255061,Kuhs,,,,,,
53.857763806579328,12.221534213421064,91f0ea72-f580-11e4-a75f-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Kuhs,130725255061,Kuhs,,,,,,
53.860213027160853,12.223388627185544,91f0f21a-f580-11e4-a760-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Kuhs,130725255061,Kuhs,,,,,,
53.879313918517397,11.954949144256867,91f0fc74-f580-11e4-a761-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Bernitt,130725252013,Langen Trechow,,,,,,
53.878699879400699,11.952140284930515,91f10e4e-f580-11e4-a762-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Bernitt,130725252013,Langen Trechow,,,,,,
53.880195642300457,11.949006310437895,91f11d76-f580-11e4-a763-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Bernitt,130725252013,Langen Trechow,,,,,,
53.852669250173314,12.12635307889972,91f12b72-f580-11e4-a764-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mistorf,130725255071,Augustenruh,,,,,,
53.859119223206001,12.119239274676575,91f136a8-f580-11e4-a765-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mistorf,130725255071,Goldewin,,,,,,
53.873656641109733,12.121685418109697,91f142e2-f580-11e4-a766-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mistorf,130725255071,Goldewin,,,,,,
53.861642532059626,12.115029598563396,91f14f26-f580-11e4-a767-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Groß Schwiesow,130725255039,Groß Schwiesow,,,,,,
53.87165247188549,12.113919675258176,91f15926-f580-11e4-a768-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mistorf,130725255071,Goldewin,,,,,,
53.850436721180991,12.129772855745262,91f164a2-f580-11e4-a769-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mistorf,130725255071,Augustenruh,,,,,,
53.863707206612311,12.118664576599386,91f16e2a-f580-11e4-a76a-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mistorf,130725255071,Goldewin,,,,,,
53.868930956415333,12.111966411442797,91f17dd4-f580-11e4-a76b-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mistorf,130725255071,Goldewin,,,,,,
53.982179345214668,11.934654949793945,5a317bfe-d3c6-11e5-969e-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.866120104454275,12.113916272039287,91f189c8-f580-11e4-a76c-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mistorf,130725255071,Goldewin,,,,,,
54.028958406851984,12.194375863114535,91ef87b8-f580-11e4-a742-0050569b7e95,Landkreis Rostock,13072,Dummerstorf,130720212,Dummerstorf,130720212029,Hohen Schwarfs,,,,,,
53.862713497124375,12.110179476489515,91f19436-f580-11e4-a76d-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Groß Schwiesow,130725255039,Groß Schwiesow,,,,,,
53.858063695986552,12.110322943880776,91f19e40-f580-11e4-a76e-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Groß Schwiesow,130725255039,Groß Schwiesow,,,,,,
53.860234408141139,12.108061322826412,91f1acb4-f580-11e4-a76f-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Groß Schwiesow,130725255039,Groß Schwiesow,,,,,,
53.855864180920058,12.113199689872543,91f1b470-f580-11e4-a770-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Groß Schwiesow,130725255039,Groß Schwiesow,,,,,,
53.853275214638032,12.120644032544122,91f1c370-f580-11e4-a771-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Groß Schwiesow,130725255039,Groß Schwiesow,,,,,,
53.896365813656928,11.836007741241456,91f1e0a8-f580-11e4-a773-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Jürgenshagen,130725252050,Moltenow,,,,,,
53.897452095102864,11.837701647378196,91f1ed46-f580-11e4-a774-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Jürgenshagen,130725252050,Moltenow,,,,,,
54.003168235902216,12.033474406364491,91f20f1a-f580-11e4-a777-0050569b7e95,Landkreis Rostock,13072,Amt Warnow-West,130725263,Ziesendorf,130725263121,Nienhusen,,,,,,
54.103829281394759,12.235122610533447,91f23968-f580-11e4-a77a-0050569b7e95,Landkreis Rostock,13072,Amt Carbäk,130725253,Broderstorf,130725253019,Neuendorf,,,,,,
54.096014423282128,12.220216938292745,91f24462-f580-11e4-a77b-0050569b7e95,Landkreis Rostock,13072,Amt Carbäk,130725253,Broderstorf,130725253019,Neuendorf,,,,,,
54.101281515201201,12.231915093309746,91f24f52-f580-11e4-a77c-0050569b7e95,Landkreis Rostock,13072,Amt Carbäk,130725253,Broderstorf,130725253019,Neuendorf,,,,,,
54.099233371425498,12.221802159544596,91f25b6e-f580-11e4-a77d-0050569b7e95,Landkreis Rostock,13072,Amt Carbäk,130725253,Broderstorf,130725253019,Neuendorf,,,,,,
54.102417953336719,12.239834348860237,91f26730-f580-11e4-a77e-0050569b7e95,Landkreis Rostock,13072,Amt Carbäk,130725253,Broderstorf,130725253019,Neuendorf,,,,,,
53.915885711912125,11.921358750037635,91f27892-f580-11e4-a77f-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Penzin,130725252078,Penzin,,,,,,
54.133395038179415,12.315543662572239,91f28756-f580-11e4-a780-0050569b7e95,Landkreis Rostock,13072,Amt Carbäk,130725253,Poppendorf,130725253081,Bussewitz,,,,,,
54.130742550259505,12.32105499378156,91f29430-f580-11e4-a781-0050569b7e95,Landkreis Rostock,13072,Amt Carbäk,130725253,Poppendorf,130725253081,Bussewitz,,,,,,
54.140322803088971,12.301360886815118,91f29ffc-f580-11e4-a782-0050569b7e95,Landkreis Rostock,13072,Amt Carbäk,130725253,Poppendorf,130725253081,Poppendorf,,,,,,
54.130510180731328,12.315526674481776,91f2abfa-f580-11e4-a783-0050569b7e95,Landkreis Rostock,13072,Amt Carbäk,130725253,Poppendorf,130725253081,Bussewitz,,,,,,
54.157587934638066,12.220661726626682,91f2d31e-f580-11e4-a787-0050569b7e95,Landkreis Rostock,13072,Amt Rostocker Heide,130725260,Mönchhagen,130725260072,Mönchhagen,,,,,,
53.978201984342398,11.937764682676269,5a3f2092-d3c6-11e5-969f-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.975168316131679,11.93304556265659,5a4d2976-d3c6-11e5-96a0-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.987784989278367,11.947363380052794,5a5ae0fc-d3c6-11e5-96a1-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
