GENESIS-Tabelle: Temporär
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;;;;
Monatsbericht über die Elektrizitätsversorgung;;;;;;
Deutschland;;;;;;
;;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto);Nettowärmeerzeugung;Brennstoffeinsatz
;;;MWh;MWh;MWh;GJ
2014;März;Heizöl, leicht;53174;49552;18984;643074
2014;März;Heizöl, schwer;31565;28957;.;376769
2014;März;Flüssiggas;.;.;.;.
2014;März;Raffineriegas;-;-;-;-
2014;März;Petrolkoks;.;.;.;.
2014;März;Sonstige Mineralölprodukte;.;.;.;.
2014;März;Erdgas, Erdölgas;3056754;2941839;3891752;32019521
2014;März;Grubengas;.;.;.;.
2014;März;Kokereigas;.;.;.;.
2014;März;Hochofengas;.;.;.;.
2014;März;Sonstige hergestellte Gase;-;-;-;-
2014;März;Laufwasser;1067649;1052078;-;-
2014;März;Speicherwasser;23271;22847;-;-
2014;März;Pumpspeicherwasser;-;-;-;-
2014;März;Pumpspeicher mit natürlichem Zufluss;.;.;-;-
2014;März;Pumpspeicher ohne natürlichen Zufluss;487313;477727;-;-
2014;März;Windkraft;-;-;-;-
2014;März;Photovoltaik;-;-;-;-
2014;März;Geothermie;7586;4689;.;-
2014;März;Solarthermie;-;-;-;-
2014;März;Feste biogene Stoffe;394914;354439;400026;6191424
2014;März;Flüssige biogene Stoffe;.;.;.;.
2014;März;Biogas;100286;97145;98082;1003209
2014;März;Klärgas;3019;2870;3728;41234
2014;März;Deponiegas;6696;6440;3504;71281
2014;März;Sonstige erneuerbare Energien;.;.;-;183284
2014;März;Klärschlamm;9050;8257;3298;91028
2014;März;Abfall (Hausmüll, Industrie);-;-;-;-
2014;März;Abfall (Industrie);93936;74213;146855;1888614
2014;März;Abfall (Hausmüll, Siedlungsabfälle);970970;771883;1329692;17653206
2014;März;Kernenergie;8810291;8302037;-;-
2014;März;Wärme;50726;48625;157201;1002358
2014;März;Sonstige Energieträger;.;.;.;.
2014;März;Insgesamt;39284808;36525673;10365337;290621232
2014;April;Steinkohlen;9664218;8837153;2294657;91802441
2014;April;Steinkohlenkoks;-;-;-;-
2014;April;Steinkohlenbriketts;-;-;-;-
2014;April;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;April;Sonstige Steinkohlen;-;-;-;-
2014;April;Rohbraunkohlen;12050219;11187577;724343;117308583
2014;April;Hartbraunkohlen;-;-;-;-
2014;April;Braunkohlenbriketts;.;.;.;168044
2014;April;Braunkohlenkoks;.;.;.;.
2014;April;Wirbelschichtkohle;.;.;.;.
2014;April;Staub- und Trockenkohle;21330;19203;43374;337545
2014;April;Sonstige Braunkohlen;-;-;-;-
2014;April;Dieselkraftstoff;.;.;-;.
2014;April;Heizöl, leicht;31266;28722;10341;518949
2014;April;Heizöl, schwer;30069;27713;.;318904
2014;April;Flüssiggas;2;2;.;.
2014;April;Raffineriegas;-;-;-;-
2014;April;Petrolkoks;.;.;.;.
2014;April;Sonstige Mineralölprodukte;.;.;.;.
2014;April;Erdgas, Erdölgas;2221543;2135489;2750112;23435230
2014;April;Grubengas;.;.;.;.
2014;April;Kokereigas;.;.;.;.
2014;April;Hochofengas;.;.;.;.
2014;April;Sonstige hergestellte Gase;-;-;-;-
2014;April;Laufwasser;1018501;1005917;-;-
2014;April;Speicherwasser;28946;28583;-;-
2014;April;Pumpspeicherwasser;-;-;-;-
2014;April;Pumpspeicher mit natürlichem Zufluss;.;.;-;-
2014;April;Pumpspeicher ohne natürlichen Zufluss;453908;445928;-;-
2014;April;Windkraft;-;-;-;-
2014;April;Photovoltaik;-;-;-;-
2014;April;Geothermie;7069;.;.;-
2014;April;Solarthermie;-;-;-;-
2014;April;Feste biogene Stoffe;378186;339298;360141;5891339
2014;April;Flüssige biogene Stoffe;1535;1426;.;.
2014;April;Biogas;90680;87688;87589;902259
2014;April;Klärgas;2970;2809;3771;43982
2014;April;Deponiegas;6868;6567;3425;73462
2014;April;Sonstige erneuerbare Energien;.;.;-;.
2014;April;Klärschlamm;9761;8971;1587;93919
2014;April;Abfall (Hausmüll, Industrie);-;-;-;-
2014;April;Abfall (Industrie);94736;75228;126484;1822497
2014;April;Abfall (Hausmüll, Siedlungsabfälle);993168;796251;1159868;17968932
2014;April;Kernenergie;7758423;7333754;-;-
2014;April;Wärme;51225;49189;133862;951615
2014;April;Sonstige Energieträger;.;.;.;.
2014;April;Insgesamt;35298491;32771285;7834167;265053834
2014;Mai;Steinkohlen;8695316;7971228;1942376;83898213
2014;Mai;Steinkohlenkoks;-;-;-;-
2014;Mai;Steinkohlenbriketts;-;-;-;-
2014;Mai;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;Mai;Sonstige Steinkohlen;-;-;-;-
2014;Mai;Rohbraunkohlen;11527201;10702791;627670;108421408
2014;Mai;Hartbraunkohlen;-;-;-;-
2014;Mai;Braunkohlenbriketts;.;.;.;.
2014;Mai;Braunkohlenkoks;.;.;.;.
2014;Mai;Wirbelschichtkohle;.;.;.;.
2014;Mai;Staub- und Trockenkohle;13394;12194;27587;216252
2014;Mai;Sonstige Braunkohlen;-;-;-;-
2014;Mai;Dieselkraftstoff;.;.;-;.
2014;Mai;Heizöl, leicht;32182;29663;7850;415223
2014;Mai;Heizöl, schwer;29790;27275;5997;319413
2014;Mai;Flüssiggas;2;.;.;.
2014;Mai;Raffineriegas;-;-;-;-
2014;Mai;Petrolkoks;.;.;.;.
2014;Mai;Sonstige Mineralölprodukte;.;.;.;.
2014;Mai;Erdgas, Erdölgas;1832307;1752260;2563708;20758939
2014;Mai;Grubengas;.;.;.;.
2014;Mai;Kokereigas;.;.;.;.
2014;Mai;Hochofengas;.;.;.;.
2014;Mai;Sonstige hergestellte Gase;-;-;-;-
2014;Mai;Laufwasser;1440117;1419749;-;-
2014;Mai;Speicherwasser;44797;44393;-;-
2014;Mai;Pumpspeicherwasser;-;-;-;-
2014;Mai;Pumpspeicher mit natürlichem Zufluss;.;.;-;-
2014;Mai;Pumpspeicher ohne natürlichen Zufluss;445259;435893;-;-
2014;Mai;Windkraft;-;-;-;-
2014;Mai;Photovoltaik;-;-;-;-
2014;Mai;Geothermie;8849;5734;.;-
2014;Mai;Solarthermie;-;-;-;-
2014;Mai;Feste biogene Stoffe;438645;397057;328395;6512052
2014;Mai;Flüssige biogene Stoffe;.;.;.;.
2014;Mai;Biogas;86099;83515;81045;870792
2014;Mai;Klärgas;2926;2760;3365;40389
2014;Mai;Deponiegas;6917;6616;3530;73833
2014;Mai;Sonstige erneuerbare Energien;.;.;-;195921
2014;Mai;Klärschlamm;6777;6207;966;65875
2014;Mai;Abfall (Hausmüll, Industrie);-;-;-;-
2014;Mai;Abfall (Industrie);100085;79923;122229;1811282
2014;Mai;Abfall (Hausmüll, Siedlungsabfälle);975444;775827;1036232;17286930
2014;Mai;Kernenergie;6446368;6057455;-;-
2014;Mai;Wärme;42050;39907;117290;790346
2014;Mai;Sonstige Energieträger;.;.;.;.
2014;Mai;Insgesamt;32521620;30166890;6943992;244679237
2014;Juni;Steinkohlen;8056031;7390802;1151279;76710316
2014;Juni;Steinkohlenkoks;-;-;-;-
2014;Juni;Steinkohlenbriketts;-;-;-;-
