GENESIS-Tabelle: Temporär
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;;;;
Monatsbericht über die Elektrizitätsversorgung;;;;;;
Deutschland;;;;;;
;;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto);Nettowärmeerzeugung;Brennstoffeinsatz
;;;MWh;MWh;MWh;GJ
2014;November;Raffineriegas;-;-;-;-
2014;November;Petrolkoks;.;.;.;.
2014;November;Sonstige Mineralölprodukte;.;.;3626;.
2014;November;Erdgas, Erdölgas;3225233;3114829;3802034;32615150
2014;November;Grubengas;.;.;.;.
2014;November;Kokereigas;.;.;.;.
2014;November;Hochofengas;.;.;.;.
2014;November;Sonstige hergestellte Gase;-;-;-;-
2014;November;Laufwasser;1308811;1296549;-;-
2014;November;Speicherwasser;51741;51050;-;-
2014;November;Pumpspeicherwasser;-;-;-;-
2014;November;Pumpspeicher mit natürlichem Zufluss;.;.;-;-
2014;November;Pumpspeicher ohne natürlichen Zufluss;556897;546944;-;-
2014;November;Windkraft;-;-;-;-
2014;November;Photovoltaik;-;-;-;-
2014;November;Geothermie;8494;6143;.;-
2014;November;Solarthermie;-;-;-;-
2014;November;Feste biogene Stoffe;381135;344669;458101;6353654
2014;November;Flüssige biogene Stoffe;.;.;.;.
2014;November;Biogas;125458;122203;135622;1246746
2014;November;Klärgas;2817;2712;3042;35154
2014;November;Deponiegas;6415;6109;3459;67161
2014;November;Sonstige erneuerbare Energien;.;.;-;.
2014;November;Klärschlamm;13924;12722;2729;137321
2014;November;Abfall (Hausmüll, Industrie);-;-;-;-
2014;November;Abfall (Industrie);90727;71319;127774;1752407
2014;November;Abfall (Hausmüll, Siedlungsabfälle);975167;769826;1353003;17899384
2014;November;Kernenergie;9035904;8557777;-;-
2014;November;Wärme;58465;55494;172266;1149802
2014;November;Sonstige Energieträger;.;.;.;.
2014;November;Insgesamt;41331714;38514196;10402262;302572578
2014;Dezember;Steinkohlen;10087198;9246487;4217868;102068496
2014;Dezember;Steinkohlenkoks;-;-;-;-
2014;Dezember;Steinkohlenbriketts;-;-;-;-
2014;Dezember;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;Dezember;Sonstige Steinkohlen;-;-;-;-
2014;Dezember;Rohbraunkohlen;12196027;11290744;1111704;115747033
2014;Dezember;Hartbraunkohlen;.;.;.;.
2014;Dezember;Braunkohlenbriketts;12035;10936;.;122831
2014;Dezember;Braunkohlenkoks;.;.;.;.
2014;Dezember;Wirbelschichtkohle;.;.;.;.
2014;Dezember;Staub- und Trockenkohle;29805;27910;61306;459582
2014;Dezember;Sonstige Braunkohlen;-;-;-;-
2014;Dezember;Dieselkraftstoff;.;.;-;.
2014;Dezember;Heizöl, leicht;70612;66415;38349;1475675
2014;Dezember;Heizöl, schwer;39726;36794;.;452753
2014;Dezember;Flüssiggas;.;.;.;.
2014;Dezember;Raffineriegas;-;-;-;-
2014;Dezember;Petrolkoks;.;.;.;.
2014;Dezember;Sonstige Mineralölprodukte;.;.;.;.
2014;Dezember;Erdgas, Erdölgas;3843719;3702086;5301600;41971403
2014;Dezember;Grubengas;.;.;.;.
2014;Dezember;Kokereigas;.;.;.;.
2014;Dezember;Hochofengas;.;.;.;.
2014;Dezember;Sonstige hergestellte Gase;.;.;-;.
2014;Dezember;Laufwasser;1119521;1102473;-;-
2014;Dezember;Speicherwasser;45852;44886;-;-
2014;Dezember;Pumpspeicherwasser;-;-;-;-
2014;Dezember;Pumpspeicher mit natürlichem Zufluss;42189;.;-;-
2014;Dezember;Pumpspeicher ohne natürlichen Zufluss;587409;575697;-;-
2014;Dezember;Windkraft;-;-;-;-
2014;Dezember;Photovoltaik;-;-;-;-
2014;Dezember;Geothermie;11868;8925;.;-
2014;Dezember;Solarthermie;-;-;-;-
2014;Dezember;Feste biogene Stoffe;421190;381412;515237;6994323
2014;Dezember;Flüssige biogene Stoffe;.;.;.;.
2014;Dezember;Biogas;137009;133338;153467;1361842
2014;Dezember;Klärgas;3052;2911;3707;38332
2014;Dezember;Deponiegas;7092;6727;3399;72768
2014;Dezember;Sonstige erneuerbare Energien;.;.;-;492245
2014;Dezember;Klärschlamm;10815;9888;2894;108897
2014;Dezember;Abfall (Hausmüll, Industrie);-;-;-;-
2014;Dezember;Abfall (Industrie);91618;71371;155742;1908736
2014;Dezember;Abfall (Hausmüll, Siedlungsabfälle);961690;750967;1497620;18366113
2014;Dezember;Kernenergie;9149666;8659101;-;-
2014;Dezember;Wärme;53284;47051;212430;1207129
2014;Dezember;Sonstige Energieträger;.;.;.;.
2014;Dezember;Insgesamt;39320727;36584971;13407327;296674506
2015;Januar;Steinkohlen;9854047;8959936;4249951;95953794
2015;Januar;Steinkohlenkoks;-;-;-;-
2015;Januar;Steinkohlenbriketts;-;-;-;-
2015;Januar;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;Januar;Sonstige Steinkohlen;-;-;-;-
2015;Januar;Rohbraunkohlen;13213560;12274396;1127963;124176062
2015;Januar;Hartbraunkohlen;.;.;.;.
2015;Januar;Braunkohlenbriketts;15022;13295;.;192713
2015;Januar;Braunkohlenkoks;.;.;.;.
2015;Januar;Wirbelschichtkohle;.;.;.;.
2015;Januar;Staub- und Trockenkohle;31368;29256;55573;452852
2015;Januar;Sonstige Braunkohlen;-;-;-;-
2015;Januar;Dieselkraftstoff;.;.;.;260
2015;Januar;Heizöl, leicht;60252;55790;19455;793765
2015;Januar;Heizöl, schwer;24630;22541;.;284788
2015;Januar;Flüssiggas;.;.;.;.
2015;Januar;Raffineriegas;-;-;-;-
2015;Januar;Petrolkoks;.;.;.;.
2015;Januar;Sonstige Mineralölprodukte;.;.;.;.
2015;Januar;Erdgas, Erdölgas;3931472;3796017;5710781;43832856
2015;Januar;Grubengas;.;.;.;.
2015;Januar;Kokereigas;.;.;-;.
2015;Januar;Hochofengas;.;.;.;.
2015;Januar;Sonstige hergestellte Gase;-;-;-;-
2015;Januar;Laufwasser;1447880;1425717;-;-
2015;Januar;Speicherwasser;65456;64639;-;-
2015;Januar;Pumpspeicherwasser;-;-;-;-
2015;Januar;Pumpspeicher mit natürlichem Zufluss;86321;82373;-;-
2015;Januar;Pumpspeicher ohne natürlichen Zufluss;554088;541809;-;-
2015;Januar;Windkraft;-;-;-;-
2015;Januar;Photovoltaik;-;-;-;-
2015;Januar;Geothermie;11628;8760;.;-
2015;Januar;Solarthermie;-;-;-;-
2015;Januar;Feste biogene Stoffe;447149;401969;568517;7431659
2015;Januar;Flüssige biogene Stoffe;.;.;4694;32068
2015;Januar;Biogas;174036;169349;188138;1699139
2015;Januar;Klärgas;3378;3180;5282;44613
2015;Januar;Deponiegas;8996;8711;5824;100626
2015;Januar;Sonstige erneuerbare Energien;-;-;-;.
2015;Januar;Klärschlamm;12396;11268;4988;125743
2015;Januar;Abfall (Hausmüll, Industrie);-;-;-;-
2015;Januar;Abfall (Industrie);80823;62661;152294;1716332
2015;Januar;Abfall (Hausmüll, Siedlungsabfälle);812338;616910;1537355;16678421
2015;Januar;Kernenergie;9186200;8691671;-;-
2015;Januar;Wärme;42985;40871;185922;1036605
2015;Januar;Sonstige Energieträger;3283;3058;.;.
2015;Januar;Insgesamt;40335734;37529042;13977479;297646858
2015;Februar;Steinkohlen;11663109;10700382;4189650;109140526
2015;Februar;Steinkohlenkoks;-;-;-;-
2015;Februar;Steinkohlenbriketts;-;-;-;-
2015;Februar;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;Februar;Sonstige Steinkohlen;-;-;-;-
2015;Februar;Rohbraunkohlen;12814361;11914949;1056029;119968588
2015;Februar;Hartbraunkohlen;.;.;.;.
2015;Februar;Braunkohlenbriketts;17508;15544;.;208347
2015;Februar;Braunkohlenkoks;.;.;.;.
2015;Februar;Wirbelschichtkohle;.;.;.;.
2015;Februar;Staub- und Trockenkohle;33396;31218;59429;482154
2015;Februar;Sonstige Braunkohlen;-;-;-;-
2015;Februar;Dieselkraftstoff;37;33;-;270
2015;Februar;Heizöl, leicht;37703;34885;33910;572741
2015;Februar;Heizöl, schwer;21614;19934;13310;250482
2015;Februar;Flüssiggas;-;-;-;-
2015;Februar;Raffineriegas;-;-;-;-
2015;Februar;Petrolkoks;.;.;.;.
2015;Februar;Sonstige Mineralölprodukte;.;.;.;.
2015;Februar;Erdgas, Erdölgas;3910085;3782687;5214297;41302354
2015;Februar;Grubengas;.;.;.;.
2015;Februar;Kokereigas;.;.;-;.
2015;Februar;Hochofengas;.;.;.;.
2015;Februar;Sonstige hergestellte Gase;-;-;-;-
2015;Februar;Laufwasser;1102513;1085832;-;-
2015;Februar;Speicherwasser;34414;33898;-;-
2015;Februar;Pumpspeicherwasser;-;-;-;-
2015;Februar;Pumpspeicher mit natürlichem Zufluss;31794;29543;-;-
2015;Februar;Pumpspeicher ohne natürlichen Zufluss;468644;457452;-;-
2015;Februar;Windkraft;-;-;-;-
2015;Februar;Photovoltaik;-;-;-;-
2015;Februar;Geothermie;11120;8327;.;-
2015;Februar;Solarthermie;-;-;-;-
2015;Februar;Feste biogene Stoffe;389048;350229;527630;6590091
2015;Februar;Flüssige biogene Stoffe;.;.;.;.
2015;Februar;Biogas;161258;157034;175453;1578268
2015;Februar;Klärgas;3119;2939;4840;41327
2015;Februar;Deponiegas;7764;7516;4518;83220
2015;Februar;Sonstige erneuerbare Energien;-;-;-;.
2015;Februar;Klärschlamm;15012;13640;6009;154400
2015;Februar;Abfall (Hausmüll, Industrie);-;-;-;-
2015;Februar;Abfall (Industrie);90060;71634;167214;1765569
2015;Februar;Abfall (Hausmüll, Siedlungsabfälle);826825;642003;1481326;16508585
2015;Februar;Kernenergie;8376260;7925893;-;-
2015;Februar;Wärme;44034;42334;163301;914422
2015;Februar;Sonstige Energieträger;3865;3674;13070;.
2015;Februar;Insgesamt;40324460;37569319;13227949;302543751
2015;März;Steinkohlen;11202960;10185969;3736315;103005607
2015;März;Steinkohlenkoks;-;-;-;-
2015;März;Steinkohlenbriketts;-;-;-;-
2015;März;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;März;Sonstige Steinkohlen;-;-;-;-
2015;März;Rohbraunkohlen;13453893;12504500;1016256;126500147
2015;März;Hartbraunkohlen;.;.;.;.
2015;März;Braunkohlenbriketts;.;.;.;.
2015;März;Braunkohlenkoks;.;.;.;.
2015;März;Wirbelschichtkohle;.;.;.;.
2015;März;Staub- und Trockenkohle;37603;34880;61440;517738
2015;März;Sonstige Braunkohlen;-;-;-;-
2015;März;Dieselkraftstoff;.;.;-;.
2015;März;Heizöl, leicht;65608;59385;30113;814181
2015;März;Heizöl, schwer;59293;54329;11183;597611
2015;März;Flüssiggas;.;.;-;.
2015;März;Raffineriegas;-;-;-;-
2015;März;Petrolkoks;.;.;.;.
2015;März;Sonstige Mineralölprodukte;.;.;.;.
2015;März;Erdgas, Erdölgas;3137537;3015656;4294706;33973374
2015;März;Grubengas;.;.;.;.
2015;März;Kokereigas;.;.;-;.
2015;März;Hochofengas;.;.;.;.
2015;März;Sonstige hergestellte Gase;-;-;-;-
2015;März;Laufwasser;1314092;1289456;-;-
2015;März;Speicherwasser;39884;39404;-;-
2015;März;Pumpspeicherwasser;-;-;-;-
2015;März;Pumpspeicher mit natürlichem Zufluss;.;.;-;-
2015;März;Pumpspeicher ohne natürlichen Zufluss;502103;491308;-;-
2015;März;Windkraft;-;-;-;-
2015;März;Photovoltaik;-;-;-;-
2015;März;Geothermie;9590;6714;.;-
2015;März;Solarthermie;-;-;-;-
2015;März;Feste biogene Stoffe;391808;352892;517198;6618753
2015;März;Flüssige biogene Stoffe;.;.;.;.
2015;März;Biogas;167199;162828;174686;1617787
2015;März;Klärgas;3660;3357;5093;47099
2015;März;Deponiegas;8292;8072;5349;87295
2015;März;Sonstige erneuerbare Energien;-;-;-;322333
2015;März;Klärschlamm;16060;14545;5375;165183
2015;März;Abfall (Hausmüll, Industrie);-;-;-;-
2015;März;Abfall (Industrie);95674;76206;179826;1854157
2015;März;Abfall (Hausmüll, Siedlungsabfälle);936894;735077;1419280;17610743
2015;März;Kernenergie;8118431;7644537;-;-
2015;März;Wärme;43457;40934;181669;1041131
2015;März;Sonstige Energieträger;4249;3986;18294;93370
2015;März;Insgesamt;39189922;36347823;11804120;291626883
2015;April;Steinkohlen;9309670;8285099;2716732;82377062
2015;April;Steinkohlenkoks;-;-;-;-
2015;April;Steinkohlenbriketts;-;-;-;-
2015;April;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;April;Sonstige Steinkohlen;-;-;-;-
2015;April;Rohbraunkohlen;11596389;10758832;759035;110609278
2015;April;Hartbraunkohlen;-;-;-;-
2015;April;Braunkohlenbriketts;.;.;.;.
2015;April;Braunkohlenkoks;.;.;.;.
2015;April;Wirbelschichtkohle;.;.;.;.
2015;April;Staub- und Trockenkohle;27552;24529;49112;399514
2015;April;Sonstige Braunkohlen;-;-;-;-
2015;April;Dieselkraftstoff;13;13;-;131
2015;April;Heizöl, leicht;60037;52710;17912;658881
2015;April;Heizöl, schwer;44765;40670;8271;486831
2015;April;Flüssiggas;-;-;-;-
2015;April;Raffineriegas;-;-;-;-
2015;April;Petrolkoks;.;.;-;.
2015;April;Sonstige Mineralölprodukte;10221;9504;.;103571
2015;April;Erdgas, Erdölgas;1919942;1834101;2914434;21903195
2015;April;Grubengas;.;.;.;.
2015;April;Kokereigas;.;.;-;.
2015;April;Hochofengas;.;.;.;.
2015;April;Sonstige hergestellte Gase;-;-;-;-
2015;April;Laufwasser;1516339;1494414;-;-
2015;April;Speicherwasser;58171;57687;-;-
2015;April;Pumpspeicherwasser;-;-;-;-
2015;April;Pumpspeicher mit natürlichem Zufluss;64641;62335;-;-
2015;April;Pumpspeicher ohne natürlichen Zufluss;504225;493781;-;-
2015;April;Windkraft;-;-;-;-
2015;April;Photovoltaik;-;-;-;-
2015;April;Geothermie;10449;7407;.;-
2015;April;Solarthermie;-;-;-;-
2015;April;Feste biogene Stoffe;396972;359286;441974;6357926
2015;April;Flüssige biogene Stoffe;.;.;.;17369
2015;April;Biogas;146262;142303;149099;1395511
2015;April;Klärgas;3752;3503;4975;44112
2015;April;Deponiegas;7145;6944;3931;73512
2015;April;Sonstige erneuerbare Energien;-;-;-;339297
2015;April;Klärschlamm;13280;12102;1683;128442
2015;April;Abfall (Hausmüll, Industrie);-;-;-;-
2015;April;Abfall (Industrie);85045;66064;147378;1665177
2015;April;Abfall (Hausmüll, Siedlungsabfälle);872021;681410;1116178;16171216
2015;April;Kernenergie;7629993;7213778;-;-
2015;April;Wärme;51957;48975;180127;1161203
2015;April;Sonstige Energieträger;3185;3031;.;.
2015;April;Insgesamt;34462377;31776269;8637478;245311665
2015;Mai;Steinkohlen;6704946;5960237;1954581;60309374
2015;Mai;Steinkohlenkoks;-;-;-;-
2015;Mai;Steinkohlenbriketts;-;-;-;-
2015;Mai;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;Mai;Sonstige Steinkohlen;-;-;-;-
2015;Mai;Rohbraunkohlen;10295172;9528888;666749;98311684
2015;Mai;Hartbraunkohlen;-;-;-;-
2015;Mai;Braunkohlenbriketts;.;.;.;192338
2015;Mai;Braunkohlenkoks;.;.;.;.
2015;Mai;Wirbelschichtkohle;.;.;.;.
2015;Mai;Staub- und Trockenkohle;11995;10421;20938;175054
2015;Mai;Sonstige Braunkohlen;-;-;-;-
2015;Mai;Dieselkraftstoff;.;.;-;.
2015;Mai;Heizöl, leicht;57406;49714;13970;620635
2015;Mai;Heizöl, schwer;21192;19032;2951;229217
2015;Mai;Flüssiggas;-;-;.;.
2015;Mai;Raffineriegas;-;-;-;-
2015;Mai;Petrolkoks;-;-;-;-
2015;Mai;Sonstige Mineralölprodukte;.;.;.;.
2015;Mai;Erdgas, Erdölgas;1401514;1335412;2303461;17129760
2015;Mai;Grubengas;.;.;.;.
2015;Mai;Kokereigas;.;.;-;.
2015;Mai;Hochofengas;.;.;.;.
2015;Mai;Sonstige hergestellte Gase;-;-;-;-
2015;Mai;Laufwasser;1720287;1701406;-;-
2015;Mai;Speicherwasser;74181;73785;-;-
2015;Mai;Pumpspeicherwasser;-;-;-;-
2015;Mai;Pumpspeicher mit natürlichem Zufluss;.;.;-;-
2015;Mai;Pumpspeicher ohne natürlichen Zufluss;506351;497091;-;-
2015;Mai;Windkraft;-;-;-;-
2015;Mai;Photovoltaik;-;-;-;-
2015;Mai;Geothermie;11721;7719;.;-
2015;Mai;Solarthermie;-;-;-;-
2015;Mai;Feste biogene Stoffe;444100;399674;395289;6878840
2015;Mai;Flüssige biogene Stoffe;.;.;.;.
2015;Mai;Biogas;134487;130447;126364;1278988
2015;Mai;Klärgas;3725;3498;5166;46653
2015;Mai;Deponiegas;6971;6788;3986;71388
2015;Mai;Sonstige erneuerbare Energien;-;-;-;365403
2015;Mai;Klärschlamm;10881;9889;1561;104656
2015;Mai;Abfall (Hausmüll, Industrie);-;-;-;-
2015;Mai;Abfall (Industrie);79687;60868;143321;1647637
2015;Mai;Abfall (Hausmüll, Siedlungsabfälle);939271;741993;1041665;17267839
2015;Mai;Kernenergie;7816911;7386763;-;-
2015;Mai;Wärme;47950;44966;122254;969861
2015;Mai;Sonstige Energieträger;2937;2816;.;.
2015;Mai;Insgesamt;30459870;28128764;6881160;206507709
2015;Juni;Steinkohlen;8809606;7820014;1363841;80710239
2015;Juni;Steinkohlenkoks;-;-;-;-
2015;Juni;Steinkohlenbriketts;-;-;-;-
2015;Juni;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;Juni;Sonstige Steinkohlen;-;-;-;-
2015;Juni;Rohbraunkohlen;11205673;10387513;524141;104179184
2015;Juni;Hartbraunkohlen;-;-;-;-
2015;Juni;Braunkohlenbriketts;.;.;.;.
2015;Juni;Braunkohlenkoks;.;.;.;.
2015;Juni;Wirbelschichtkohle;.;.;.;.
2015;Juni;Staub- und Trockenkohle;14117;12900;16362;183586
2015;Juni;Sonstige Braunkohlen;-;-;-;-
2015;Juni;Dieselkraftstoff;.;.;-;.
2015;Juni;Heizöl, leicht;34951;28813;9557;411793
2015;Juni;Heizöl, schwer;30670;28181;.;322182
2015;Juni;Flüssiggas;-;-;-;-
2015;Juni;Raffineriegas;-;-;-;-
2015;Juni;Petrolkoks;-;-;-;-
2015;Juni;Sonstige Mineralölprodukte;.;.;.;.
2015;Juni;Erdgas, Erdölgas;1433783;1368864;1916833;16083962
2015;Juni;Grubengas;.;.;.;.
2015;Juni;Kokereigas;.;.;-;.
2015;Juni;Hochofengas;.;.;.;.
2015;Juni;Sonstige hergestellte Gase;-;-;-;-
2015;Juni;Laufwasser;1579128;1555044;-;-
2015;Juni;Speicherwasser;71250;70806;-;-
2015;Juni;Pumpspeicherwasser;-;-;-;-
2015;Juni;Pumpspeicher mit natürlichem Zufluss;30772;29717;-;-
2015;Juni;Pumpspeicher ohne natürlichen Zufluss;472422;463535;-;-
2015;Juni;Windkraft;-;-;-;-
2015;Juni;Photovoltaik;-;-;-;-
2015;Juni;Geothermie;8727;5304;.;-
2015;Juni;Solarthermie;-;-;-;-
2015;Juni;Feste biogene Stoffe;393701;353602;342524;6099488
2015;Juni;Flüssige biogene Stoffe;.;.;.;.
2015;Juni;Biogas;116674;113024;105188;1116614
2015;Juni;Klärgas;3586;3391;5080;46084
2015;Juni;Deponiegas;7092;6870;.;71624
2015;Juni;Sonstige erneuerbare Energien;-;-;-;242381
2015;Juni;Klärschlamm;10703;9695;1485;106018
2015;Juni;Abfall (Hausmüll, Industrie);-;-;-;-
2015;Juni;Abfall (Industrie);99123;78354;138260;1875431
2015;Juni;Abfall (Hausmüll, Siedlungsabfälle);920028;734621;955392;16278289
2015;Juni;Kernenergie;7086326;6679863;-;-
2015;Juni;Wärme;45601;42186;119421;905940
2015;Juni;Sonstige Energieträger;3968;3720;.;.
2015;Juni;Insgesamt;32496998;29904019;5590812;229954564
2015;Juli;Steinkohlen;9404352;8621599;1130443;87060456
2015;Juli;Steinkohlenkoks;-;-;-;-
2015;Juli;Steinkohlenbriketts;-;-;-;-
2015;Juli;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;Juli;Sonstige Steinkohlen;-;-;-;-
2015;Juli;Rohbraunkohlen;12377511;11482749;436635;116950461
2015;Juli;Hartbraunkohlen;-;-;-;-
2015;Juli;Braunkohlenbriketts;.;.;.;.
2015;Juli;Braunkohlenkoks;1321;1090;.;.
2015;Juli;Wirbelschichtkohle;.;.;.;.
2015;Juli;Staub- und Trockenkohle;21291;19010;18929;237970
2015;Juli;Sonstige Braunkohlen;-;-;-;-
2015;Juli;Dieselkraftstoff;.;.;-;.
2015;Juli;Heizöl, leicht;39989;37045;8633;466203
2015;Juli;Heizöl, schwer;34286;30938;.;378804
2015;Juli;Flüssiggas;-;-;-;-
2015;Juli;Raffineriegas;-;-;-;-
2015;Juli;Petrolkoks;.;.;-;.
2015;Juli;Sonstige Mineralölprodukte;.;.;.;.
2015;Juli;Erdgas, Erdölgas;1759983;1691680;1799431;18178797
2015;Juli;Grubengas;.;.;.;.
2015;Juli;Kokereigas;.;.;-;.
2015;Juli;Hochofengas;.;.;.;.
2015;Juli;Sonstige hergestellte Gase;-;-;-;-
2015;Juli;Laufwasser;1180075;1157270;-;-
2015;Juli;Speicherwasser;44956;44487;-;-
2015;Juli;Pumpspeicherwasser;-;-;-;-
2015;Juli;Pumpspeicher mit natürlichem Zufluss;18559;17754;-;-
2015;Juli;Pumpspeicher ohne natürlichen Zufluss;472337;462625;-;-
2015;Juli;Windkraft;-;-;-;-
2015;Juli;Photovoltaik;-;-;-;-
2015;Juli;Geothermie;10128;5864;.;-
2015;Juli;Solarthermie;-;-;-;-
2015;Juli;Feste biogene Stoffe;391692;349952;291471;5861418
2015;Juli;Flüssige biogene Stoffe;.;.;.;.
2015;Juli;Biogas;106156;102533;91933;1028588
2015;Juli;Klärgas;3695;3501;5490;47956
2015;Juli;Deponiegas;7191;6945;.;72098
2015;Juli;Sonstige erneuerbare Energien;-;-;-;237082
2015;Juli;Klärschlamm;12964;11885;1158;125753
2015;Juli;Abfall (Hausmüll, Industrie);-;-;-;-
2015;Juli;Abfall (Industrie);90623;69942;150736;1942720
2015;Juli;Abfall (Hausmüll, Siedlungsabfälle);971915;779720;976964;17420398
2015;Juli;Kernenergie;5378591;5070848;-;-
2015;Juli;Wärme;43846;41359;124776;970487
2015;Juli;Sonstige Energieträger;1984;1940;.;.
2015;Juli;Insgesamt;32493107;30119098;5109212;252239341
2015;August;Steinkohlen;8429853;7737456;1020213;79185625
2015;August;Steinkohlenkoks;-;-;-;-
2015;August;Steinkohlenbriketts;-;-;-;-
2015;August;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;August;Sonstige Steinkohlen;-;-;-;-
2015;August;Rohbraunkohlen;12989185;12070232;469059;122057369
2015;August;Hartbraunkohlen;-;-;-;-
2015;August;Braunkohlenbriketts;.;.;.;.
2015;August;Braunkohlenkoks;.;.;.;.
2015;August;Wirbelschichtkohle;.;.;.;.
2015;August;Staub- und Trockenkohle;22162;19532;17074;243719
2015;August;Sonstige Braunkohlen;-;-;-;-
2015;August;Dieselkraftstoff;22;22;-;190
2015;August;Heizöl, leicht;45013;40756;10661;553412
2015;August;Heizöl, schwer;33303;30283;.;356848
2015;August;Flüssiggas;-;-;-;-
2015;August;Raffineriegas;-;-;-;-
2015;August;Petrolkoks;-;-;-;-
2015;August;Sonstige Mineralölprodukte;8419;7837;.;80763
2015;August;Erdgas, Erdölgas;1306307;1240652;1735820;14742280
2015;August;Grubengas;.;.;.;.
2015;August;Kokereigas;.;.;-;.
2015;August;Hochofengas;.;.;.;.
2015;August;Sonstige hergestellte Gase;-;-;-;-
2015;August;Laufwasser;1050077;1025639;-;-
2015;August;Speicherwasser;38301;37860;-;-
2015;August;Pumpspeicherwasser;-;-;-;-
2015;August;Pumpspeicher mit natürlichem Zufluss;.;.;-;-
2015;August;Pumpspeicher ohne natürlichen Zufluss;460846;450579;-;-
2015;August;Windkraft;-;-;-;-
2015;August;Photovoltaik;-;-;-;-
2015;August;Geothermie;6905;4292;.;-
2015;August;Solarthermie;-;-;-;-
2015;August;Feste biogene Stoffe;405333;362707;296216;6244271
2015;August;Flüssige biogene Stoffe;.;.;.;.
2015;August;Biogas;104732;101051;92028;1007823
2015;August;Klärgas;3422;3236;4835;43388
2015;August;Deponiegas;6633;6411;.;67368
2015;August;Sonstige erneuerbare Energien;-;-;-;149056
2015;August;Klärschlamm;14365;13034;1801;145925
2015;August;Abfall (Hausmüll, Industrie);-;-;-;-
2015;August;Abfall (Industrie);81840;62416;131770;1835890
2015;August;Abfall (Hausmüll, Siedlungsabfälle);976517;778715;944878;17590729
2015;August;Kernenergie;7463952;7054958;-;-
2015;August;Wärme;42077;38998;109488;881184
2015;August;Sonstige Energieträger;3226;3141;.;.
2015;August;Insgesamt;33611853;31198733;4901131;246272001
2015;September;Steinkohlen;10221253;9347750;1366529;93830540
2015;September;Steinkohlenkoks;-;-;-;-
2015;September;Steinkohlenbriketts;-;-;-;-
2015;September;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;September;Sonstige Steinkohlen;-;-;-;-
2015;September;Rohbraunkohlen;13547847;12614857;605122;126434066
2015;September;Hartbraunkohlen;-;-;-;-
2015;September;Braunkohlenbriketts;.;.;.;107071
2015;September;Braunkohlenkoks;.;.;.;.
2015;September;Wirbelschichtkohle;.;.;.;.
2015;September;Staub- und Trockenkohle;21238;19333;28188;278225
2015;September;Sonstige Braunkohlen;-;-;-;-
2015;September;Dieselkraftstoff;.;.;-;.
2015;September;Heizöl, leicht;32603;29684;10505;414312
2015;September;Heizöl, schwer;33147;30419;.;334501
2015;September;Flüssiggas;.;.;-;.
2015;September;Raffineriegas;-;-;-;-
2015;September;Petrolkoks;.;.;-;.
2015;September;Sonstige Mineralölprodukte;4611;4251;.;40733
2015;September;Erdgas, Erdölgas;1630734;1557186;2304637;18523766
2015;September;Grubengas;.;.;.;.
2015;September;Kokereigas;.;.;-;.
2015;September;Hochofengas;.;.;.;.
2015;September;Sonstige hergestellte Gase;-;-;-;-
2015;September;Laufwasser;965732;940435;-;-
2015;September;Speicherwasser;35156;34774;-;-
2015;September;Pumpspeicherwasser;-;-;-;-
2015;September;Pumpspeicher mit natürlichem Zufluss;13197;.;-;-
2015;September;Pumpspeicher ohne natürlichen Zufluss;435630;427251;-;-
2015;September;Windkraft;-;-;-;-
2015;September;Photovoltaik;-;-;-;-
2015;September;Geothermie;9548;6694;.;-
2015;September;Solarthermie;-;-;-;-
2015;September;Feste biogene Stoffe;375146;337640;353643;5747366
2015;September;Flüssige biogene Stoffe;.;.;.;.
2015;September;Biogas;122064;118159;113861;1168461
2015;September;Klärgas;3474;3272;4868;41970
2015;September;Deponiegas;6811;6595;4027;70305
2015;September;Sonstige erneuerbare Energien;-;-;-;165107
2015;September;Klärschlamm;14767;13465;1521;142579
2015;September;Abfall (Hausmüll, Industrie);-;-;-;-
2015;September;Abfall (Industrie);94885;74841;146493;1901114
2015;September;Abfall (Hausmüll, Siedlungsabfälle);856526;668167;944365;15598859
2015;September;Kernenergie;7692707;7277739;-;-
2015;September;Wärme;45090;42883;109589;918206
2015;September;Sonstige Energieträger;.;.;.;.
2015;September;Insgesamt;36219464;33621585;6038728;266152651
2015;Oktober;Steinkohlen;12897822;11862876;2564953;116222799
2015;Oktober;Steinkohlenkoks;-;-;-;-
2015;Oktober;Steinkohlenbriketts;-;-;-;-
2015;Oktober;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2015;Oktober;Sonstige Steinkohlen;-;-;-;-
2015;Oktober;Rohbraunkohlen;14337438;13348683;863740;134166289
